subset,instrument,instrument_id,fold,track_id,uuid4,random
test,flute,1,3,0,flute_68,0.879821124
test,guitar,0,1,0,guitar_71,0.392178492
test,flute,1,3,0,flute_14,0.42674849
test,guitar,0,1,0,guitar_583,0.776904281
test,guitar,0,1,0,guitar_522,0.306376818
test,violin,3,7,0,violin_158,0.855232351
test,guitar,0,1,0,guitar_743,0.659555328
test,piano,2,4,0,piano_523,0.616017154
test,violin,3,7,0,violin_518,0.256007801
test,violin,3,7,0,violin_106,0.424239153
test,guitar,0,1,0,guitar_381,0.956561756
test,guitar,0,1,0,guitar_528,0.057822636
test,piano,2,4,0,piano_519,0.19772383
test,violin,3,7,0,violin_555,0.855473401
test,guitar,0,1,0,guitar_45,0.698046487
test,guitar,0,1,0,guitar_51,0.464619548
test,guitar,0,1,0,guitar_407,0.870157521
test,violin,3,7,0,violin_444,0.956011056
test,piano,2,4,0,piano_377,0.255188524
test,piano,2,4,0,piano_285,0.409908931
test,violin,3,7,0,violin_279,0.098626757
test,piano,2,4,0,piano_674,0.019634867
test,guitar,0,1,0,guitar_602,0.488661031
test,flute,1,3,0,flute_315,0.960659636
test,violin,3,7,0,violin_564,0.560854213
test,guitar,0,1,0,guitar_356,0.835615145
test,flute,1,3,0,flute_27,0.608806997
test,piano,2,4,0,piano_446,0.278630666
test,violin,3,7,0,violin_3,0.422374065
test,violin,3,7,0,violin_148,0.297083058
test,flute,1,3,0,flute_24,0.024040599
test,piano,2,4,0,piano_372,0.659448696
test,guitar,0,1,0,guitar_309,0.666509592
test,piano,2,4,0,piano_63,0.664887271
test,piano,2,4,0,piano_515,0.809409648
test,violin,3,7,0,violin_162,0.181744645
test,violin,3,7,0,violin_291,0.67322682
test,guitar,0,1,0,guitar_395,0.679948997
test,flute,1,3,0,flute_403,0.24506941
test,guitar,0,1,0,guitar_155,0.1600687
test,guitar,0,1,0,guitar_199,0.383688693
test,guitar,0,1,0,guitar_242,0.764776659
test,flute,1,3,0,flute_193,0.321493216
test,piano,2,4,0,piano_675,0.286923132
test,guitar,0,1,0,guitar_367,0.646733129
