subset,instrument,instrument_id,fold,track_id,uuid4,randNumb
training,piano,2,4,421,1667d034-c17f-5131-f9f8-f7db50e2d73f,0.854376115
training,flute,1,3,314,18f74db9-2071-55db-f231-1c51db281b9b,0.613089085
training,piano,2,4,997,32fd8389-d764-541f-f365-b6e21186b476,0.540199699
training,piano,2,4,193,0accad6b-5875-5ec1-f6ce-f30be9778cc4,0.217774719
training,piano,2,4,2607,855b1388-2bbe-5184-f4af-1d469c499f72,0.444750542
training,piano,2,4,3038,9bab8129-b663-5b62-fdf9-9a65820ed812,0.670665745
training,guitar,0,1,145,1b64f417-408f-5e78-f7fd-8e69e9461a6c,0.905489282
training,violin,3,7,2436,81008066-4daa-5e35-f3b5-d65731ec823e,0.866083968
training,violin,3,7,3410,b3d38d77-6ac6-5878-f70b-9653c5f7c841,0.510690307
training,piano,2,4,1385,47a5ea8b-4c12-5094-fd10-f98341c7bdd1,0.370395884
training,violin,3,7,2708,8f2aa328-990d-51fc-ff49-2cede11bbc6e,0.733728602
training,flute,1,3,1264,61a7b694-5d9c-5152-f7e0-c595e5e83be4,0.897650157
training,violin,3,7,1902,665c3141-2dd0-526f-fe58-bb155da72fb8,0.145235028
training,violin,3,7,3183,a7719c68-f4e1-51fc-f27b-1caa8f3b6095,0.499699701
training,flute,1,3,811,3f49ccbd-e9ab-5a47-f8c3-8731148f6e58,0.175133241
training,guitar,0,1,769,9353f60b-213f-598e-f7a1-92deb70b09b0,0.772592871
training,violin,3,7,2724,900453d0-7512-5f7f-ff91-93419abc679d,0.970112759
training,guitar,0,1,430,5432879f-1577-5e64-f591-4e2ad1d5a0c9,0.474659213
training,piano,2,4,1067,3649e4b6-74eb-5c3a-fe5b-ad8696ce15ff,0.301106363
training,piano,2,4,167,09112de1-2987-5ec4-fb07-7683bb33518c,0.287945023
training,flute,1,3,223,115a4281-e967-5869-f100-582b643170e7,0.562851685
training,flute,1,3,1554,77110fe1-75a0-535a-f748-21606454b45f,0.86152114
training,piano,2,4,48,027edbb4-dd84-56e1-f2bc-5dfa59ff910b,0.068908006
training,flute,1,3,385,1e5c900f-9b26-5154-f48e-d82eefabbe4c,0.350011746
training,violin,3,7,2680,8dac9f5c-32fa-56da-f559-0d22b90b615f,0.396487286
training,violin,3,7,2869,9785c64f-6c7e-5813-ffd2-a1f7bbc6edd8,0.037538321
training,flute,1,3,2292,b22136b8-88d7-5e1b-fa75-2b65b9fec453,0.577196349
