subset,instrument,instrument_id,fold,track_id,uuid4,randNumb
validacion,piano,2,4,779,e9acf4bf-e165-5804-f216-610363630db9,0.535884372
validacion,violin,3,7,98,c3fe68a9-bd05-55be-f598-60ec80d84e1d,0.424125703
validacion,piano,2,4,146,c89c8f9e-123c-59b7-f663-23922b329893,0.978501379
validacion,flute,1,3,117,ccb66b19-cbc0-54ce-f9bb-c34effaef40c,0.463403209
validacion,violin,3,7,165,c7419bcc-1326-5981-f4b1-2a472f37f322,0.360322588
validacion,flute,1,3,475,e6b4fd1d-f32f-5606-f115-29251e26b717,0.542488279
validacion,guitar,0,1,116,e0aac254-061d-5caa-f1ae-5d85902fb870,0.547524313
validacion,flute,1,3,289,d85bcc35-97e0-5689-f074-a0485fee53b5,0.633015633
validacion,violin,3,7,1078,f48404bb-2098-5e19-ff17-cd4bccf6436f,0.117405297
validacion,piano,2,4,292,d087c38c-28fc-5bb6-fe8d-5b6059e8a950,0.123144789
validacion,flute,1,3,144,cdf160ab-7663-5b3e-f333-6f3d80373346,0.010601998
validacion,piano,2,4,623,e1087497-8aff-5d2d-ff5d-1a0b740b5f61,0.14657606
validacion,piano,2,4,1125,fb16ef62-3309-5ed7-f056-c46145234cb7,0.846266565
validacion,flute,1,3,19,c29dfeaf-8fa3-5249-f56d-d326344a7cde,0.78606598
validacion,violin,3,7,805,e6deeacb-20d9-5928-f0f8-9be34f83e87d,0.189022281
validacion,violin,3,7,279,ccb74beb-eb61-5341-f4c0-4d1384f18ca5,0.361258668
validacion,violin,3,7,425,d3e11403-fb45-5daa-ff38-559ee5299697,0.930105277
validacion,piano,2,4,22,c184d88a-a965-5d86-fe34-14d0394aa697,0.361375707
validacion,violin,3,7,932,ecf4803f-dab2-5533-fd36-7056d15eb0b8,0.039468698
validacion,guitar,0,1,203,ed3a2fb9-500a-5efc-f3a8-43e779566612,0.036398349
validacion,piano,2,4,12,c1003dff-da56-5e4d-f32a-c974605ce052,0.383635589
validacion,piano,2,4,55,c38bca38-2b51-5fc8-fdc7-fabd2efd077d,0.261427817
validacion,flute,1,3,613,f2663c3e-c771-5a78-fd42-f2200f268716,0.646685826
validacion,piano,2,4,1071,f91663d5-61be-5274-f1d3-47812c8417ba,0.538726693
validacion,piano,2,4,100,c62e669e-aa47-587a-ffed-8331706763f8,0.480411149
validacion,flute,1,3,515,ea3f085b-511c-5970-fdb8-be389c13ac3f,0.201959929
validacion,violin,3,7,731,e256dcaa-3e11-5eb5-f4df-b67a2fc2ac56,0.75681205
validacion,piano,2,4,771,e96cb90d-24af-5aea-ff8a-791988384ed0,0.532678977
validacion,piano,2,4,89,c5a0409a-2ad4-5ab3-fc0b-270bd7e32588,0.072416272
validacion,guitar,0,1,45,d441078b-8b36-5d95-ffbc-ba1da91024d0,0.669187197
validacion,violin,3,7,471,d5b4fec0-b66d-57ec-f235-282936f99258,0.6270612
validacion,flute,1,3,586,f0ab6e39-f5f6-5981-ffa6-e0acf5f97318,0.12576944
validacion,violin,3,7,1048,f2f3249a-1757-5b45-fecf-3242edb630da,0.314902709
validacion,piano,2,4,975,f4da4e1d-8b4c-51f4-f7fa-e99378a47f4f,0.285513428
validacion,violin,3,7,34,c076ad2c-a9f1-5023-fefb-c40aebac1347,0.941245365
validacion,flute,1,3,283,d8049cd7-74e5-57a1-fc34-4d72e7f561c4,0.857083063
validacion,piano,2,4,62,c46dc1d7-305e-5c4e-f181-1b45f81bd82c,0.749011156
validacion,flute,1,3,559,eee2602b-973c-56ed-f71c-61877698a1a0,0.883408302
validacion,violin,3,7,720,e1c2b69d-1bc6-5375-f282-d8b1660bdad8,0.818996019
validacion,piano,2,4,769,e9157e3b-7ffc-5f45-fb04-489e3794d927,0.924814731
validacion,guitar,0,1,197,ec825357-9deb-5191-f45d-68b97ae7025c,0.621857826
validacion,piano,2,4,505,db58067f-2097-5e06-f645-78a25fec966a,0.734574473
validacion,guitar,0,1,149,e5664c98-d818-5ac2-fea7-ac0fc733d2db,0.315241693
validacion,piano,2,4,52,c3763d7c-18ef-5a1c-fae1-967e3c5c8e7b,0.249510184
validacion,flute,1,3,585,f0a04975-37d9-58ad-f604-1e7a1ff2f759,0.54697959
validacion,piano,2,4,372,d4cd936d-9963-5c96-f9ef-54c36bb82dfb,0.758551061
validacion,guitar,0,1,80,d917956c-e292-5f0d-f797-8985b90a6e8d,0.151902828
validacion,piano,2,4,532,dcb4a598-ceee-55cd-fb36-027086cb866c,0.763468618
validacion,flute,1,3,573,efdbb890-1bf5-52b9-fa32-f4fcf5dc26ac,0.56617915
validacion,violin,3,7,129,c560eccd-313e-585b-f471-81e7d3354a04,0.07185934
validacion,piano,2,4,352,d33b93e3-e19c-5446-fe33-9e17e14dfb27,0.189602691
validacion,flute,1,3,330,dc3a1930-ae4a-5e1d-f46b-f2a13e2e63ce,0.262877759
validacion,guitar,0,1,245,f6045c74-5061-5b47-f827-b4f73bbacc40,0.015446398
validacion,violin,3,7,432,d4136953-6e86-5250-f08d-e74b5f023f62,0.221836674
validacion,piano,2,4,587,df90b736-7f81-5e82-fef3-8155329c2452,0.087781987
validacion,piano,2,4,1008,f6a088f5-9437-52e7-f2ab-913f94126086,0.82896511
validacion,flute,1,3,682,f7ffafb8-46c6-526a-f911-14f621e4469b,0.993058879
validacion,guitar,0,1,255,f76c6b40-2a6f-559b-ff0c-9576ce45b3eb,0.135796587
validacion,piano,2,4,1050,f867f3ab-bc70-5761-fcd0-e092029fed82,0.66516466
validacion,piano,2,4,705,e58aff96-3bf5-5095-f395-bc596589c5ad,0.589639662
validacion,piano,2,4,884,ef5c9233-f6c0-5b09-f058-eaad22bfe8ad,0.839213262
validacion,violin,3,7,438,d43edf5f-e677-5fe2-f27a-17f064fcbaa5,0.374071355
validacion,piano,2,4,788,ea313b52-b125-5903-fd98-d470f82cc407,0.004314906
validacion,violin,3,7,816,e790c483-24b4-5e0a-fbcb-113c7413edd7,0.210442451
validacion,flute,1,3,561,eef9ae63-b57a-5dfe-f5d4-2671544d5b5a,0.208757774
validacion,piano,2,4,972,f49394ea-7e7a-523a-f37f-a5d978700ef8,0.622485282
validacion,piano,2,4,136,c848fe71-bc38-589b-f86e-19da233e821a,0.2999289
validacion,violin,3,7,385,d1c13671-bc51-5d70-f648-24d3ae7eb796,0.20526569
validacion,flute,1,3,251,d5c5e5f7-3c38-511e-f91a-90775fad8f26,0.402940314
validacion,piano,2,4,709,e5b52aa5-3e83-5c18-fa76-e655ce4a4cba,0.290612336
validacion,piano,2,4,1052,f87b2748-d0c5-5d2f-f2fd-3ed15f2c9141,0.987613537
validacion,violin,3,7,1209,fb4bed09-1f8d-5965-fdc9-4db9806e795a,0.187139038
validacion,flute,1,3,83,cab79bf0-ddaf-5122-fc9b-9271f5f8a9d1,0.047368723
validacion,violin,3,7,256,cb6ecd78-3364-53a6-f41a-83a9c92296cc,0.857118969
validacion,violin,3,7,162,c6e9fad6-aacd-5f8f-fcba-e76989c61f76,0.238382426
validacion,violin,3,7,849,e93b96dd-7ec5-57e0-fceb-047b58c566a6,0.851722936
validacion,piano,2,4,917,f18acb40-28ac-5ee1-f8fc-bacacdb1a576,0.681445637
